Product,Test,Method,above_floor,Time,bg_floor_log10,criterion_value,Range_log10,Range_units,n_in_intersect,n_above_floor,n_total,no_range,problematic,best_achieved,valid
Whipping Cream,AttuneDilut,Youden J,FALSE,24 Hours,2.88,1,2.40 – 3.30,2.5e+02 – 2.0e+03,8,8,8,NA,NA,NA,TRUE
Whipping Cream,AttuneDilut,Youden J,FALSE,48 Hours,2.88,1,2.50 – 3.20,3.2e+02 – 1.6e+03,8,8,8,NA,NA,NA,TRUE
Whipping Cream,AttuneDilut,Youden J,FALSE,72 Hours,2.88,1,2.40 – 2.60,2.5e+02 – 4.0e+02,8,8,8,NA,NA,NA,TRUE
Whipping Cream,AttuneDilut,Sensitivity-first,FALSE,12 Hours,2.88,1,no range,—,5,8,8,NA,"Geo 3, Geo 4, AF 5",NA,FALSE
Whipping Cream,AttuneDilut,Sensitivity-first,FALSE,24 Hours,2.88,1,2.40 – 3.30,2.5e+02 – 2.0e+03,8,8,8,NA,NA,NA,TRUE
Whipping Cream,AttuneDilut,Sensitivity-first,FALSE,48 Hours,2.88,1,2.50 – 3.20,3.2e+02 – 1.6e+03,8,8,8,NA,NA,NA,TRUE
Whipping Cream,AttuneDilut,Sensitivity-first,FALSE,72 Hours,2.88,1,2.40 – 2.60,2.5e+02 – 4.0e+02,8,8,8,NA,NA,NA,TRUE
Whipping Cream,AttuneDilut,Best Accuracy,FALSE,12 Hours,2.88,1,no range,—,5,8,8,NA,"Geo 3, Geo 4, AF 5",NA,FALSE
Whipping Cream,AttuneDilut,Best Accuracy,FALSE,24 Hours,2.88,1,2.40 – 3.30,2.5e+02 – 2.0e+03,8,8,8,NA,NA,NA,TRUE
Whipping Cream,AttuneDilut,Best Accuracy,FALSE,48 Hours,2.88,1,2.50 – 3.20,3.2e+02 – 1.6e+03,8,8,8,NA,NA,NA,TRUE
Whipping Cream,AttuneDilut,Best Accuracy,FALSE,72 Hours,2.88,1,2.40 – 2.60,2.5e+02 – 4.0e+02,8,8,8,NA,NA,NA,TRUE
Med Beverage,Charm,Youden J,TRUE,6 Hours,1.24,0,1.30 – 4.70,2.0e+01 – 5.0e+04,2,2,8,NA,NA,NA,TRUE
Med Beverage,Charm,Youden J,TRUE,12 Hours,1.24,0.44,1.30,2.0e+01,5,5,8,NA,NA,NA,TRUE
Med Beverage,Charm,Youden J,TRUE,24 Hours,1.24,0.775,1.30 – 1.80,2.0e+01 – 6.3e+01,8,8,8,NA,NA,NA,TRUE
Med Beverage,Charm,Youden J,TRUE,48 Hours,1.24,0.7438,1.30,2.0e+01,8,8,8,NA,NA,NA,TRUE
Med Beverage,Charm,Sensitivity-first,TRUE,6 Hours,1.24,0,1.30 – 4.70,2.0e+01 – 5.0e+04,2,2,8,NA,NA,NA,TRUE
Med Beverage,Charm,Sensitivity-first,TRUE,12 Hours,1.24,0.44,1.30,2.0e+01,5,5,8,NA,NA,NA,TRUE
Med Beverage,Charm,Sensitivity-first,TRUE,24 Hours,1.24,0.775,1.30 – 1.80,2.0e+01 – 6.3e+01,8,8,8,NA,NA,NA,TRUE
Med Beverage,Charm,Sensitivity-first,TRUE,48 Hours,1.24,0.775,1.30,2.0e+01,8,8,8,NA,NA,NA,TRUE
Med Beverage,Charm,Best Accuracy,TRUE,6 Hours,1.24,0.875,1.30 – 4.70,2.0e+01 – 5.0e+04,8,8,8,NA,NA,NA,TRUE
